study_hours,attendance_pct,previous_score,assignment_completion,sleep_hours,participation,previous_performance,performance_category
7.5,92.7,87.6,23.7,3.5,8,2,Good
7.0,96.7,39.3,31.2,3.5,8,2,Average
10.8,68.0,90.3,42.1,9.6,8,5,Excellent
0.5,76.8,94.6,97.7,6.5,7,5,Excellent
3.4,50.0,64.1,46.5,5.9,8,7,Needs Improvement
11.4,99.5,72.4,58.6,8.7,6,2,Excellent
10.7,53.9,83.5,35.7,8.9,2,7,Good
5.5,96.6,42.2,68.9,5.3,2,5,Average
7.4,79.0,65.2,42.5,7.9,8,6,Good
3.3,76.5,57.9,36.6,8.4,1,8,Needs Improvement
2.3,70.8,40.2,61.3,7.6,6,10,Needs Improvement
5.6,53.8,55.7,20.4,4.1,6,4,Needs Improvement
4.2,50.6,34.8,20.6,9.1,4,7,Needs Improvement
7.0,53.2,31.8,37.5,6.8,10,6,Needs Improvement
0.9,51.2,39.5,22.9,5.0,3,10,Needs Improvement
11.7,86.8,97.4,28.6,6.0,3,2,Excellent
11.8,61.0,68.5,47.1,3.3,1,8,Good
8.4,43.5,97.6,84.2,3.9,3,10,Excellent
6.4,98.1,60.3,65.8,8.4,4,9,Good
3.7,93.0,51.8,61.0,3.0,5,5,Average
9.8,95.7,65.4,43.5,5.9,3,10,Excellent
8.2,99.7,60.8,94.5,6.7,6,4,Excellent
2.0,50.4,37.4,51.8,3.4,5,6,Needs Improvement
10.9,63.8,74.9,27.0,9.8,3,8,Good
9.9,85.5,45.1,69.4,4.6,6,3,Excellent
11.4,81.8,73.4,29.1,5.1,6,10,Excellent
8.7,49.2,75.5,47.6,5.1,8,1,Average
7.4,88.9,40.6,60.6,4.6,2,4,Average
5.0,53.5,34.3,89.9,3.0,1,4,Needs Improvement
11.2,53.4,84.7,59.5,8.1,4,1,Excellent
10.4,72.2,62.2,76.2,9.8,7,9,Excellent
0.5,75.6,34.1,99.4,4.6,10,3,Average
0.3,74.8,99.6,30.5,7.6,3,5,Average
4.5,45.5,34.0,42.0,8.2,3,6,Needs Improvement
9.7,92.6,78.7,51.6,8.9,5,8,Excellent
11.8,55.9,98.9,53.7,6.0,5,6,Excellent
1.8,47.8,46.7,52.9,5.1,10,3,Needs Improvement
7.1,93.3,40.0,92.6,5.3,3,6,Good
4.6,97.3,38.5,77.1,8.0,9,1,Good
11.6,91.7,51.2,68.6,8.7,4,4,Excellent
10.1,88.6,37.1,44.7,4.3,3,6,Average
10.1,79.3,78.5,85.9,5.6,2,7,Excellent
5.6,73.1,34.4,96.4,9.3,10,10,Good
5.0,45.2,65.7,85.7,8.6,9,3,Good
3.3,64.5,99.8,20.1,9.9,4,9,Average
0.7,62.4,87.0,70.9,8.3,3,7,Average
10.4,55.6,73.1,24.1,5.8,7,1,Average
9.8,83.4,51.4,40.6,7.1,8,2,Good
12.0,69.8,73.7,24.8,7.6,2,1,Good
12.0,44.9,66.9,68.3,3.5,7,9,Good
6.7,53.2,59.8,74.9,6.8,5,9,Average
9.2,81.0,39.1,29.2,8.0,5,7,Good
11.3,44.6,92.1,50.7,4.2,3,10,Good
10.2,91.1,61.5,56.5,8.5,5,3,Excellent
3.0,69.7,43.6,49.5,7.1,2,5,Needs Improvement
5.4,68.8,55.7,29.7,9.7,4,4,Needs Improvement
1.5,75.5,59.0,53.5,3.3,6,7,Average
11.4,89.5,87.9,80.1,4.9,1,9,Excellent
7.3,60.9,81.4,25.7,7.2,10,2,Good
2.7,80.7,83.9,26.4,5.1,4,8,Average
8.1,73.9,30.8,48.4,8.0,6,9,Average
7.4,56.0,59.1,95.3,8.3,9,10,Good
4.3,92.7,63.7,73.5,3.7,2,10,Good
1.4,87.8,31.3,74.3,6.6,7,9,Good
8.1,79.5,48.2,49.0,6.6,6,10,Good
6.2,91.0,83.2,67.5,5.6,2,7,Excellent
9.3,92.0,39.6,20.8,9.5,8,9,Excellent
6.2,82.5,67.5,70.9,8.8,7,9,Good
10.2,90.2,45.1,93.1,7.9,5,3,Excellent
6.6,81.8,30.8,69.0,8.0,5,4,Average
6.7,80.8,46.9,89.9,6.2,7,2,Good
10.5,77.1,98.3,77.9,9.4,9,10,Excellent
4.8,85.2,86.1,29.6,7.9,9,3,Excellent
1.6,49.5,97.2,92.2,8.1,9,5,Good
0.3,92.9,64.1,25.3,9.0,6,5,Average
9.1,92.3,37.7,62.7,4.9,10,6,Good
7.4,41.8,68.4,31.4,8.6,6,7,Needs Improvement
8.4,89.5,61.8,20.9,4.4,3,7,Average
2.6,47.7,89.1,53.8,5.4,1,1,Needs Improvement
1.6,60.1,36.9,43.6,5.3,7,2,Needs Improvement
0.2,84.6,64.2,58.9,9.8,4,9,Average
4.2,49.6,40.5,66.2,9.0,1,10,Good
7.1,89.1,52.7,23.5,7.9,8,2,Good
4.7,89.9,81.6,29.8,8.1,6,6,Good
5.2,70.4,63.3,64.7,6.9,6,1,Average
10.8,40.4,56.3,47.5,9.6,2,3,Average
4.2,57.2,57.6,78.3,6.5,1,2,Average
6.2,77.0,62.2,72.2,5.7,2,3,Average
9.4,98.9,85.0,87.6,4.1,4,5,Excellent
4.8,77.9,92.4,75.4,8.5,2,10,Excellent
7.5,55.6,96.9,54.4,8.1,1,6,Good
10.3,78.0,85.1,73.8,5.7,7,9,Excellent
11.4,72.4,52.1,42.0,3.2,8,10,Excellent
1.8,86.8,78.2,44.5,8.9,6,4,Average
11.1,46.4,60.6,83.1,3.1,4,7,Average
5.9,85.7,47.8,55.7,7.9,6,6,Good
3.1,72.5,88.9,83.9,9.8,3,2,Good
5.5,97.8,32.7,85.8,6.1,8,10,Good
11.8,60.5,93.1,88.6,4.6,10,8,Excellent
5.9,78.0,62.3,93.3,7.9,2,7,Excellent
3.9,95.9,74.6,54.5,8.7,5,7,Good
7.6,46.2,76.2,45.5,6.8,1,8,Needs Improvement
2.9,96.2,92.7,66.6,9.8,6,1,Excellent
0.9,81.3,74.6,49.7,3.4,2,1,Needs Improvement
1.5,44.1,73.0,68.1,6.5,4,8,Needs Improvement
1.5,58.1,34.7,76.4,8.0,6,4,Needs Improvement
1.8,82.5,66.3,75.1,9.0,10,5,Good
1.7,44.0,40.5,50.0,4.3,8,8,Needs Improvement
7.7,74.9,81.6,33.3,8.6,8,5,Good
2.2,60.8,65.9,54.4,6.9,6,10,Needs Improvement
4.1,77.3,77.6,31.4,5.8,4,4,Average
10.8,42.7,32.9,91.2,3.9,8,6,Needs Improvement
5.7,92.3,35.9,47.7,9.1,8,5,Average
8.0,98.4,80.1,32.4,4.1,10,7,Excellent
2.1,98.1,35.0,22.0,5.2,1,10,Needs Improvement
2.3,85.0,35.0,71.7,5.0,4,7,Needs Improvement
0.5,47.8,30.8,71.0,9.1,4,4,Needs Improvement
